secpar  tau  rho      RHF_KOTS          RHF_HVC           epsilon  alpha_w  chi  alpha_H  phi  gamma  beta_sigma  q'       eta  beta_agg  q       sig size  open size  size  
------  ---  -------  ----------------  ----------------  -------  -------  ---  -------  ---  -----  ----------  -------  ---  --------  ------  --------  ---------  ------
128     12   1024     1.00450000000000  1.00450000000000  1/32768  16       14   36       3    11     176687      724993   31   30530     249857  26 KB     133 KB     159 KB
128     12   32768    1.00464000000000  1.00450000000000  1/32768  16       14   36       1    36     342700      1376257  17   100412    921601  90 KB     204 KB     294 KB
128     12   131072   1.00480000000000  1.00450000000000  1/32768  16       14   36       1    38     686256      2752513  7    84638     724993  100 KB    267 KB     367 KB
128     12   1048576  1.00501000000000  1.00450000000000  1/32768  16       14   36       1    40     1943321     7790593  3    106191    921601  110 KB    449 KB     559 KB
128     16   1024     1.00450000000000  1.00450000000000  1/32768  16       14   36       3    11     176687      724993   31   30668     249857  26 KB     172 KB     198 KB
128     16   32768    1.00464000000000  1.00450000000000  1/32768  16       14   36       1    36     342700      1376257  17   100821    921601  90 KB     266 KB     356 KB
128     16   131072   1.00480000000000  1.00450000000000  1/32768  16       14   36       1    38     686256      2752513  7    84963     724993  100 KB    347 KB     447 KB
128     16   1048576  1.00501000000000  1.00450000000000  1/32768  16       14   36       1    40     1943321     7790593  3    106571    921601  110 KB    585 KB     695 KB
128     20   1024     1.00450000000000  1.00450000000000  1/32768  16       14   36       3    11     176687      724993   31   30776     249857  26 KB     211 KB     237 KB
128     20   32768    1.00464000000000  1.00450000000000  1/32768  16       14   36       1    36     342700      1376257  17   101142    921601  90 KB     328 KB     418 KB
128     20   131072   1.00480000000000  1.00450000000000  1/32768  16       14   36       1    38     686256      2752513  7    85218     724993  100 KB    427 KB     527 KB
128     20   1048576  1.00501000000000  1.00450000000000  1/32768  16       14   36       1    40     1943321     7790593  3    106870    921601  110 KB    721 KB     831 KB
128     24   1024     1.00450000000000  1.00450000000000  1/32768  16       14   36       3    11     176687      724993   31   30865     249857  26 KB     250 KB     276 KB
128     24   32768    1.00464000000000  1.00450000000000  1/32768  16       14   36       1    36     342700      1376257  17   101405    921601  90 KB     390 KB     480 KB
128     24   131072   1.00480000000000  1.00450000000000  1/32768  16       14   36       1    38     686256      2752513  7    85428     724993  100 KB    507 KB     607 KB
128     24   1048576  1.00501000000000  1.00450000000000  1/32768  16       14   36       1    40     1943321     7790593  3    107116    921601  110 KB    857 KB     967 KB
