secpar  tau  N        d    epsilon  alpha_w  gamma  ell  k  n  m   omega  RHF_LWE_KOTS      RHF_SIS_KOTS  RHF_SIS_HVC  alpha  alpha_mlwe        alpha_H  beta_z  beta_sigma  beta_agg  beta_encode  eta   q                 q_bit  kappa  qprime       qprime_bit  kappaprime  sig size  open size  total size
------  ---  -------  ---  -------  -------  -----  ---  -  -  --  -----  ----------------  ------------  -----------  -----  ----------------  -------  ------  ----------  --------  -----------  ----  ----------------  -----  -----  -----------  ----------  ----------  --------  ---------  ----------
128     12   1024     256  1/32768  23       10     1    4  4  9   2      1.00416359928782  1.0045        1.00436      87     1.60000000000000  60       14046   13229351    912950    589          776   9007199254746113  54     5      3469416721   32          3           7 KB      152 KB     159 KB    
128     12   32768    256  1/32768  23       10     1    4  5  10  4      1.00397523861318  1.00445       1.00441      87     1.60000000000000  60       14046   75045551    4557902   3534         645   2147493889        32     3      1205898193   31          3           9 KB      212 KB     220 KB    
128     12   131072   256  1/32768  23       10     1    4  5  10  4      1.00422569942584  1.00445       1.0045       87     1.60000000000000  60       14046   150091102   46897955  7213         3251  274877908993      39     3      4813253201   33          3           9 KB      235 KB     244 KB    
128     12   1048576  256  1/32768  23       10     1    4  5  11  5      1.00393445914125  1.00441       1.00441      87     1.60000000000000  60       14046   425588652   10789432  21074        256   134224897         28     3      54516699409  36          4           10 KB     293 KB     303 KB    
128     16   1024     256  1/32768  23       10     1    4  4  9   2      1.00416359928782  1.0045        1.00436      87     1.60000000000000  60       14046   13229351    916846    591          776   9007199254746113  54     5      3469416721   32          3           7 KB      192 KB     199 KB    
128     16   32768    256  1/32768  23       10     1    4  5  10  4      1.00397523861318  1.00445       1.00441      87     1.60000000000000  60       14046   75045551    4575294   3547         645   2147493889        32     3      1205898193   31          3           9 KB      267 KB     276 KB    
128     16   131072   256  1/32768  23       10     1    4  5  10  4      1.00422569942584  1.00445       1.0045       87     1.60000000000000  60       14046   150091102   47069739  7240         3251  274877908993      39     3      4813253201   33          3           9 KB      297 KB     306 KB    
128     16   1048576  256  1/32768  23       10     1    4  5  11  5      1.00393445914125  1.00441       1.00441      87     1.60000000000000  60       14046   425588652   10826184  21145        256   134224897         28     3      54516699409  36          4           10 KB     370 KB     380 KB    
128     20   1024     256  1/32768  23       10     1    4  4  9   2      1.00416359928782  1.0045        1.00436      87     1.60000000000000  60       14046   13229351    919945    593          776   9007199254746113  54     5      3469416721   32          3           7 KB      232 KB     239 KB    
128     20   32768    256  1/32768  23       10     1    4  5  10  4      1.00397523861318  1.00445       1.00441      87     1.60000000000000  60       14046   75045551    4589112   3558         645   2147493889        32     3      1205898193   31          3           9 KB      323 KB     331 KB    
128     20   131072   256  1/32768  23       10     1    4  5  10  4      1.00422569942584  1.00445       1.0045       87     1.60000000000000  60       14046   150091102   59476083  7261         4096  549755860993      40     3      4813253201   33          3           9 KB      358 KB     367 KB    
128     20   1048576  256  1/32768  23       10     1    4  5  11  5      1.00393445914125  1.00441       1.00445      87     1.60000000000000  60       14046   425588652   10855441  21203        256   134224897         28     3      54516699409  36          4           10 KB     447 KB     457 KB    
128     24   1024     256  1/32768  23       10     1    4  4  9   2      1.00416359928782  1.0045        1.00436      87     1.60000000000000  60       14046   13229351    922517    595          776   9007199254746113  54     5      3469416721   32          3           7 KB      272 KB     279 KB    
128     24   32768    256  1/32768  23       10     1    4  5  10  4      1.00397523861318  1.00445       1.00441      87     1.60000000000000  60       14046   75045551    4600572   3567         645   2147493889        32     3      1205898193   31          3           9 KB      378 KB     387 KB    
128     24   131072   256  1/32768  23       10     1    4  5  10  4      1.00422569942584  1.00445       1.0045       87     1.60000000000000  60       14046   150091102   59618719  7278         4096  549755860993      40     3      4813253201   33          3           9 KB      420 KB     429 KB    
128     24   1048576  256  1/32768  23       10     1    4  5  11  5      1.00393445914125  1.00441       1.00445      87     1.60000000000000  60       14046   425588652   10879737  21250        256   134224897         28     3      54516699409  36          4           10 KB     524 KB     534 KB    
